"","WSN","NYY","Champion"
"17808","4","2","WSN"
"17809","4","3","WSN"
"17810","4","0","WSN"
"17811","4","3","WSN"
"17812","1","4","NYY"
"17813","3","4","NYY"
"17814","4","0","WSN"
"17815","2","4","NYY"
"17816","3","4","NYY"
"17817","1","4","NYY"
"17818","4","3","WSN"
"17819","0","4","NYY"
"17820","2","4","NYY"
"17821","1","4","NYY"
"17822","4","3","WSN"
"17823","4","2","WSN"
"17824","4","3","WSN"
"17825","4","1","WSN"
"17826","2","4","NYY"
"17827","3","4","NYY"
"17828","4","3","WSN"
"17829","4","3","WSN"
"17830","4","3","WSN"
"17831","4","1","WSN"
"17832","4","3","WSN"
"17833","4","1","WSN"
"17834","4","3","WSN"
"17835","1","4","NYY"
"17836","2","4","NYY"
"17837","4","3","WSN"
"17838","2","4","NYY"
"17839","4","1","WSN"
"17840","3","4","NYY"
"17841","3","4","NYY"
"17842","3","4","NYY"
"17843","4","3","WSN"
"17844","4","2","WSN"
"17845","1","4","NYY"
"17846","4","3","WSN"
"17847","3","4","NYY"
"17848","4","2","WSN"
"17849","1","4","NYY"
"17850","4","1","WSN"
"17851","4","0","WSN"
"17852","1","4","NYY"
"17853","4","0","WSN"
"17854","1","4","NYY"
"17855","2","4","NYY"
"17856","4","3","WSN"
"17857","3","4","NYY"
"17858","0","4","NYY"
"17859","3","4","NYY"
"17860","4","2","WSN"
"17861","1","4","NYY"
"17862","2","4","NYY"
"17863","4","2","WSN"
"17864","1","4","NYY"
"17865","1","4","NYY"
"17866","4","2","WSN"
"17867","1","4","NYY"
"17868","4","2","WSN"
"17869","4","1","WSN"
"17870","2","4","NYY"
"17871","2","4","NYY"
"17872","0","4","NYY"
"17873","4","2","WSN"
"17874","4","2","WSN"
"17875","3","4","NYY"
"17876","4","3","WSN"
"17877","1","4","NYY"
"17878","3","4","NYY"
"17879","3","4","NYY"
"17880","4","0","WSN"
"17881","4","3","WSN"
"17882","4","2","WSN"
"17883","4","2","WSN"
"17884","4","2","WSN"
"17885","4","0","WSN"
"17886","1","4","NYY"
"17887","4","0","WSN"
"17888","1","4","NYY"
"17889","0","4","NYY"
"17890","2","4","NYY"
"17891","4","1","WSN"
"17892","2","4","NYY"
"17893","2","4","NYY"
"17894","4","1","WSN"
"17895","3","4","NYY"
"17896","4","0","WSN"
"17897","0","4","NYY"
"17898","4","3","WSN"
"17899","4","0","WSN"
"17900","3","4","NYY"
"17901","1","4","NYY"
"17902","3","4","NYY"
"17903","2","4","NYY"
"17904","4","0","WSN"
"17905","3","4","NYY"
"17906","4","1","WSN"
"17907","4","1","WSN"
"17908","1","4","NYY"
"17909","1","4","NYY"
"17910","4","3","WSN"
"17911","4","2","WSN"
"17912","4","0","WSN"
"17913","0","4","NYY"
"17914","4","0","WSN"
"17915","4","2","WSN"
"17916","4","2","WSN"
"17917","2","4","NYY"
"17918","4","1","WSN"
"17919","4","2","WSN"
"17920","3","4","NYY"
"17921","4","2","WSN"
"17922","4","0","WSN"
"17923","4","2","WSN"
"17924","0","4","NYY"
"17925","4","0","WSN"
"17926","4","2","WSN"
"17927","4","2","WSN"
"17928","4","2","WSN"
"17929","4","3","WSN"
"17930","4","2","WSN"
"17931","4","1","WSN"
"17932","4","1","WSN"
"17933","2","4","NYY"
"17934","2","4","NYY"
"17935","4","0","WSN"
"17936","4","3","WSN"
"17937","1","4","NYY"
"17938","4","3","WSN"
"17939","2","4","NYY"
"17940","4","3","WSN"
"17941","1","4","NYY"
"17942","4","0","WSN"
"17943","4","2","WSN"
"17944","3","4","NYY"
"17945","1","4","NYY"
"17946","4","0","WSN"
"17947","4","3","WSN"
"17948","4","2","WSN"
"17949","4","0","WSN"
"17950","4","2","WSN"
"17951","2","4","NYY"
"17952","4","3","WSN"
"17953","3","4","NYY"
"17954","4","0","WSN"
"17955","4","3","WSN"
"17956","4","3","WSN"
"17957","4","0","WSN"
"17958","4","1","WSN"
"17959","4","2","WSN"
"17960","4","0","WSN"
"17961","2","4","NYY"
"17962","1","4","NYY"
"17963","0","4","NYY"
"17964","4","0","WSN"
"17965","4","3","WSN"
"17966","4","0","WSN"
"17967","4","1","WSN"
"17968","4","2","WSN"
"17969","4","1","WSN"
"17970","4","2","WSN"
"17971","1","4","NYY"
"17972","4","1","WSN"
"17973","4","3","WSN"
"17974","2","4","NYY"
"17975","4","2","WSN"
"17976","3","4","NYY"
"17977","4","0","WSN"
"17978","2","4","NYY"
"17979","4","1","WSN"
"17980","3","4","NYY"
"17981","4","3","WSN"
"17982","4","1","WSN"
"17983","0","4","NYY"
"17984","4","1","WSN"
"17985","4","2","WSN"
"17986","4","3","WSN"
"17987","0","4","NYY"
"17988","4","2","WSN"
"17989","3","4","NYY"
"17990","4","3","WSN"
"17991","4","0","WSN"
"17992","4","1","WSN"
"17993","4","3","WSN"
"17994","4","2","WSN"
"17995","1","4","NYY"
"17996","1","4","NYY"
"17997","4","3","WSN"
"17998","4","1","WSN"
"17999","4","3","WSN"
"18000","1","4","NYY"
"18001","3","4","NYY"
"18002","4","3","WSN"
"18003","4","2","WSN"
"18004","4","2","WSN"
"18005","0","4","NYY"
"18006","4","1","WSN"
"18007","4","2","WSN"
"18008","3","4","NYY"
"18009","4","3","WSN"
"18010","4","1","WSN"
"18011","1","4","NYY"
"18012","4","3","WSN"
"18013","1","4","NYY"
"18014","4","1","WSN"
"18015","4","2","WSN"
"18016","4","3","WSN"
"18017","4","0","WSN"
"18018","4","2","WSN"
"18019","0","4","NYY"
"18020","4","3","WSN"
"18021","4","1","WSN"
"18022","4","1","WSN"
"18023","2","4","NYY"
"18024","4","3","WSN"
"18025","4","1","WSN"
"18026","4","1","WSN"
"18027","1","4","NYY"
"18028","4","0","WSN"
"18029","2","4","NYY"
"18030","4","3","WSN"
"18031","4","3","WSN"
"18032","4","2","WSN"
"18033","4","1","WSN"
"18034","3","4","NYY"
"18035","3","4","NYY"
"18036","4","1","WSN"
"18037","4","1","WSN"
"18038","4","1","WSN"
"18039","4","2","WSN"
"18040","4","3","WSN"
"18041","4","3","WSN"
"18042","4","3","WSN"
"18043","4","2","WSN"
"18044","4","2","WSN"
"18045","4","1","WSN"
"18046","4","2","WSN"
"18047","4","2","WSN"
"18048","4","1","WSN"
"18049","4","2","WSN"
"18050","4","2","WSN"
"18051","4","3","WSN"
"18052","4","0","WSN"
"18053","4","1","WSN"
"18054","4","3","WSN"
"18055","3","4","NYY"
"18056","4","2","WSN"
"18057","2","4","NYY"
"18058","1","4","NYY"
"18059","4","3","WSN"
"18060","4","2","WSN"
"18061","2","4","NYY"
"18062","3","4","NYY"
"18063","2","4","NYY"
"18064","4","2","WSN"
"18065","4","2","WSN"
"18066","4","2","WSN"
"18067","2","4","NYY"
"18068","1","4","NYY"
"18069","4","2","WSN"
"18070","2","4","NYY"
"18071","4","0","WSN"
"18072","1","4","NYY"
"18073","4","3","WSN"
"18074","4","3","WSN"
"18075","4","1","WSN"
"18076","2","4","NYY"
"18077","3","4","NYY"
"18078","4","2","WSN"
"18079","3","4","NYY"
"18080","4","2","WSN"
"18081","3","4","NYY"
"18082","2","4","NYY"
"18083","4","3","WSN"
"18084","4","0","WSN"
"18085","0","4","NYY"
"18086","4","1","WSN"
"18087","4","3","WSN"
"18088","4","1","WSN"
"18089","2","4","NYY"
"18090","4","3","WSN"
"18091","3","4","NYY"
"18092","4","1","WSN"
"18093","1","4","NYY"
"18094","1","4","NYY"
"18095","4","1","WSN"
"18096","4","2","WSN"
"18097","4","1","WSN"
"18098","0","4","NYY"
"18099","4","3","WSN"
"18100","2","4","NYY"
"18101","4","0","WSN"
"18102","1","4","NYY"
"18103","0","4","NYY"
"18104","4","2","WSN"
"18105","3","4","NYY"
"18106","4","1","WSN"
"18107","4","2","WSN"
"18108","2","4","NYY"
"18109","1","4","NYY"
"18110","4","3","WSN"
"18111","4","2","WSN"
"18112","3","4","NYY"
"18113","1","4","NYY"
"18114","4","0","WSN"
"18115","1","4","NYY"
"18116","2","4","NYY"
"18117","4","1","WSN"
"18118","4","2","WSN"
"18119","4","1","WSN"
"18120","4","2","WSN"
"18121","3","4","NYY"
"18122","1","4","NYY"
"18123","3","4","NYY"
"18124","4","0","WSN"
"18125","4","1","WSN"
"18126","1","4","NYY"
"18127","3","4","NYY"
"18128","4","2","WSN"
"18129","4","2","WSN"
"18130","1","4","NYY"
"18131","4","0","WSN"
"18132","4","3","WSN"
"18133","4","3","WSN"
"18134","4","2","WSN"
"18135","3","4","NYY"
"18136","4","3","WSN"
"18137","3","4","NYY"
"18138","4","1","WSN"
"18139","4","3","WSN"
"18140","4","2","WSN"
"18141","3","4","NYY"
"18142","4","2","WSN"
"18143","1","4","NYY"
"18144","4","1","WSN"
"18145","0","4","NYY"
"18146","0","4","NYY"
"18147","4","2","WSN"
"18148","2","4","NYY"
"18149","4","3","WSN"
"18150","4","2","WSN"
"18151","1","4","NYY"
"18152","2","4","NYY"
"18153","0","4","NYY"
"18154","4","2","WSN"
"18155","4","2","WSN"
"18156","4","2","WSN"
"18157","4","0","WSN"
"18158","1","4","NYY"
"18159","1","4","NYY"
"18160","3","4","NYY"
"18161","4","2","WSN"
"18162","0","4","NYY"
"18163","0","4","NYY"
"18164","3","4","NYY"
"18165","4","0","WSN"
"18166","4","3","WSN"
"18167","1","4","NYY"
"18168","4","3","WSN"
"18169","4","2","WSN"
"18170","4","0","WSN"
"18171","4","2","WSN"
"18172","3","4","NYY"
"18173","4","2","WSN"
"18174","2","4","NYY"
"18175","4","0","WSN"
"18176","3","4","NYY"
"18177","0","4","NYY"
"18178","4","2","WSN"
"18179","0","4","NYY"
"18180","4","3","WSN"
"18181","1","4","NYY"
"18182","1","4","NYY"
"18183","2","4","NYY"
"18184","4","0","WSN"
"18185","3","4","NYY"
"18186","4","3","WSN"
"18187","3","4","NYY"
"18188","4","3","WSN"
"18189","3","4","NYY"
"18190","4","2","WSN"
"18191","3","4","NYY"
"18192","3","4","NYY"
"18193","4","1","WSN"
"18194","1","4","NYY"
"18195","4","2","WSN"
"18196","4","2","WSN"
"18197","4","3","WSN"
"18198","1","4","NYY"
"18199","1","4","NYY"
"18200","2","4","NYY"
"18201","1","4","NYY"
"18202","4","3","WSN"
"18203","4","1","WSN"
"18204","2","4","NYY"
"18205","2","4","NYY"
"18206","4","0","WSN"
"18207","4","1","WSN"
"18208","4","3","WSN"
"18209","4","1","WSN"
"18210","4","3","WSN"
"18211","4","3","WSN"
"18212","4","3","WSN"
"18213","1","4","NYY"
"18214","0","4","NYY"
"18215","4","2","WSN"
"18216","4","0","WSN"
"18217","1","4","NYY"
"18218","1","4","NYY"
"18219","4","1","WSN"
"18220","4","0","WSN"
"18221","3","4","NYY"
"18222","4","0","WSN"
"18223","2","4","NYY"
"18224","3","4","NYY"
"18225","4","2","WSN"
"18226","4","0","WSN"
"18227","4","1","WSN"
"18228","1","4","NYY"
"18229","4","3","WSN"
"18230","4","3","WSN"
"18231","4","0","WSN"
"18232","4","2","WSN"
"18233","4","2","WSN"
"18234","1","4","NYY"
"18235","3","4","NYY"
"18236","4","2","WSN"
"18237","4","3","WSN"
"18238","4","3","WSN"
"18239","3","4","NYY"
"18240","1","4","NYY"
"18241","4","2","WSN"
"18242","4","3","WSN"
"18243","4","0","WSN"
"18244","1","4","NYY"
"18245","1","4","NYY"
"18246","4","3","WSN"
"18247","0","4","NYY"
"18248","4","3","WSN"
"18249","0","4","NYY"
"18250","4","1","WSN"
"18251","4","3","WSN"
"18252","2","4","NYY"
"18253","4","0","WSN"
"18254","1","4","NYY"
"18255","4","1","WSN"
"18256","1","4","NYY"
"18257","1","4","NYY"
"18258","3","4","NYY"
"18259","4","0","WSN"
"18260","4","2","WSN"
"18261","4","3","WSN"
"18262","2","4","NYY"
"18263","4","2","WSN"
"18264","2","4","NYY"
"18265","4","3","WSN"
"18266","1","4","NYY"
"18267","4","2","WSN"
"18268","2","4","NYY"
"18269","4","1","WSN"
"18270","3","4","NYY"
"18271","4","2","WSN"
"18272","4","3","WSN"
"18273","4","3","WSN"
"18274","4","2","WSN"
"18275","4","3","WSN"
"18276","1","4","NYY"
"18277","4","3","WSN"
"18278","4","1","WSN"
"18279","2","4","NYY"
"18280","1","4","NYY"
"18281","4","3","WSN"
"18282","3","4","NYY"
"18283","1","4","NYY"
"18284","3","4","NYY"
"18285","3","4","NYY"
"18286","1","4","NYY"
"18287","2","4","NYY"
"18288","3","4","NYY"
"18289","1","4","NYY"
"18290","3","4","NYY"
"18291","4","0","WSN"
"18292","4","2","WSN"
"18293","4","2","WSN"
"18294","4","3","WSN"
"18295","4","2","WSN"
"18296","2","4","NYY"
"18297","0","4","NYY"
"18298","0","4","NYY"
"18299","4","1","WSN"
"18300","4","3","WSN"
"18301","3","4","NYY"
"18302","3","4","NYY"
"18303","4","0","WSN"
"18304","4","3","WSN"
"18305","4","0","WSN"
"18306","3","4","NYY"
"18307","1","4","NYY"
"18308","4","0","WSN"
"18309","4","3","WSN"
"18310","4","1","WSN"
"18311","4","1","WSN"
"18312","1","4","NYY"
"18313","0","4","NYY"
"18314","2","4","NYY"
"18315","3","4","NYY"
"18316","4","1","WSN"
"18317","4","1","WSN"
"18318","4","2","WSN"
"18319","4","1","WSN"
"18320","4","2","WSN"
"18321","4","3","WSN"
"18322","4","2","WSN"
"18323","4","2","WSN"
"18324","2","4","NYY"
"18325","3","4","NYY"
"18326","0","4","NYY"
"18327","2","4","NYY"
"18328","1","4","NYY"
"18329","4","3","WSN"
"18330","4","3","WSN"
"18331","0","4","NYY"
"18332","4","0","WSN"
"18333","4","3","WSN"
"18334","3","4","NYY"
"18335","1","4","NYY"
"18336","3","4","NYY"
"18337","4","0","WSN"
"18338","1","4","NYY"
"18339","4","2","WSN"
"18340","4","2","WSN"
"18341","2","4","NYY"
"18342","0","4","NYY"
"18343","4","2","WSN"
"18344","4","3","WSN"
"18345","4","0","WSN"
"18346","4","1","WSN"
"18347","3","4","NYY"
"18348","4","2","WSN"
"18349","4","3","WSN"
"18350","4","0","WSN"
"18351","0","4","NYY"
"18352","4","3","WSN"
"18353","4","2","WSN"
"18354","3","4","NYY"
"18355","2","4","NYY"
"18356","2","4","NYY"
"18357","3","4","NYY"
"18358","4","2","WSN"
"18359","4","0","WSN"
"18360","4","3","WSN"
"18361","4","3","WSN"
"18362","4","3","WSN"
"18363","4","2","WSN"
"18364","3","4","NYY"
"18365","4","2","WSN"
"18366","4","1","WSN"
"18367","4","0","WSN"
"18368","4","3","WSN"
"18369","1","4","NYY"
"18370","1","4","NYY"
"18371","3","4","NYY"
"18372","3","4","NYY"
"18373","4","1","WSN"
"18374","1","4","NYY"
"18375","1","4","NYY"
"18376","3","4","NYY"
"18377","4","3","WSN"
"18378","4","3","WSN"
"18379","1","4","NYY"
"18380","4","2","WSN"
"18381","1","4","NYY"
"18382","4","0","WSN"
"18383","4","1","WSN"
"18384","4","1","WSN"
"18385","3","4","NYY"
"18386","3","4","NYY"
"18387","2","4","NYY"
"18388","2","4","NYY"
"18389","4","3","WSN"
"18390","1","4","NYY"
"18391","4","0","WSN"
"18392","3","4","NYY"
"18393","4","3","WSN"
"18394","1","4","NYY"
"18395","4","2","WSN"
"18396","4","2","WSN"
"18397","4","0","WSN"
"18398","4","2","WSN"
"18399","4","2","WSN"
"18400","1","4","NYY"
"18401","0","4","NYY"
"18402","4","2","WSN"
"18403","4","1","WSN"
"18404","4","2","WSN"
"18405","4","2","WSN"
"18406","3","4","NYY"
"18407","4","0","WSN"
"18408","4","3","WSN"
"18409","4","1","WSN"
"18410","2","4","NYY"
"18411","2","4","NYY"
"18412","4","3","WSN"
"18413","3","4","NYY"
"18414","4","1","WSN"
"18415","3","4","NYY"
"18416","4","1","WSN"
"18417","4","2","WSN"
"18418","4","2","WSN"
"18419","4","2","WSN"
"18420","2","4","NYY"
"18421","0","4","NYY"
"18422","4","1","WSN"
"18423","3","4","NYY"
"18424","1","4","NYY"
"18425","4","3","WSN"
"18426","4","3","WSN"
"18427","4","3","WSN"
"18428","4","1","WSN"
"18429","0","4","NYY"
"18430","4","2","WSN"
"18431","4","0","WSN"
"18432","4","1","WSN"
"18433","3","4","NYY"
"18434","4","3","WSN"
"18435","1","4","NYY"
"18436","1","4","NYY"
"18437","4","0","WSN"
"18438","4","1","WSN"
"18439","4","3","WSN"
"18440","3","4","NYY"
"18441","4","2","WSN"
"18442","0","4","NYY"
"18443","4","1","WSN"
"18444","3","4","NYY"
"18445","4","2","WSN"
"18446","4","3","WSN"
"18447","4","3","WSN"
"18448","4","3","WSN"
"18449","4","1","WSN"
"18450","4","2","WSN"
"18451","3","4","NYY"
"18452","4","3","WSN"
"18453","3","4","NYY"
"18454","2","4","NYY"
"18455","4","1","WSN"
"18456","3","4","NYY"
"18457","4","2","WSN"
"18458","2","4","NYY"
"18459","3","4","NYY"
"18460","0","4","NYY"
"18461","2","4","NYY"
"18462","4","2","WSN"
"18463","3","4","NYY"
"18464","3","4","NYY"
"18465","4","2","WSN"
"18466","3","4","NYY"
"18467","1","4","NYY"
"18468","2","4","NYY"
"18469","4","2","WSN"
"18470","4","1","WSN"
"18471","3","4","NYY"
"18472","4","2","WSN"
"18473","3","4","NYY"
"18474","4","1","WSN"
"18475","4","3","WSN"
"18476","4","3","WSN"
"18477","3","4","NYY"
"18478","4","2","WSN"
"18479","0","4","NYY"
"18480","4","3","WSN"
"18481","4","2","WSN"
"18482","1","4","NYY"
"18483","3","4","NYY"
"18484","2","4","NYY"
"18485","1","4","NYY"
"18486","1","4","NYY"
"18487","3","4","NYY"
"18488","1","4","NYY"
"18489","1","4","NYY"
"18490","4","1","WSN"
"18491","3","4","NYY"
"18492","3","4","NYY"
"18493","4","2","WSN"
"18494","4","2","WSN"
"18495","3","4","NYY"
"18496","4","1","WSN"
"18497","4","3","WSN"
"18498","2","4","NYY"
"18499","3","4","NYY"
"18500","4","3","WSN"
"18501","4","2","WSN"
"18502","2","4","NYY"
"18503","2","4","NYY"
"18504","4","2","WSN"
"18505","2","4","NYY"
"18506","4","0","WSN"
"18507","4","3","WSN"
"18508","3","4","NYY"
"18509","2","4","NYY"
"18510","4","2","WSN"
"18511","4","3","WSN"
"18512","1","4","NYY"
"18513","4","2","WSN"
"18514","4","2","WSN"
"18515","3","4","NYY"
"18516","3","4","NYY"
"18517","4","1","WSN"
"18518","4","2","WSN"
"18519","3","4","NYY"
"18520","2","4","NYY"
"18521","4","3","WSN"
"18522","4","1","WSN"
"18523","4","2","WSN"
"18524","3","4","NYY"
"18525","4","2","WSN"
"18526","2","4","NYY"
"18527","4","0","WSN"
"18528","4","2","WSN"
"18529","4","0","WSN"
"18530","4","0","WSN"
"18531","4","1","WSN"
"18532","1","4","NYY"
"18533","4","3","WSN"
"18534","4","3","WSN"
"18535","4","1","WSN"
"18536","1","4","NYY"
"18537","1","4","NYY"
"18538","4","2","WSN"
"18539","4","2","WSN"
"18540","4","1","WSN"
"18541","1","4","NYY"
"18542","4","2","WSN"
"18543","1","4","NYY"
"18544","3","4","NYY"
"18545","4","0","WSN"
"18546","4","1","WSN"
"18547","0","4","NYY"
"18548","4","0","WSN"
"18549","3","4","NYY"
"18550","2","4","NYY"
"18551","3","4","NYY"
"18552","3","4","NYY"
"18553","4","1","WSN"
"18554","4","2","WSN"
"18555","4","3","WSN"
"18556","3","4","NYY"
"18557","4","3","WSN"
"18558","4","1","WSN"
"18559","2","4","NYY"
"18560","4","3","WSN"
"18561","4","1","WSN"
"18562","4","1","WSN"
"18563","2","4","NYY"
"18564","4","2","WSN"
"18565","2","4","NYY"
"18566","4","2","WSN"
"18567","2","4","NYY"
"18568","3","4","NYY"
"18569","4","2","WSN"
"18570","3","4","NYY"
"18571","1","4","NYY"
"18572","0","4","NYY"
"18573","4","2","WSN"
"18574","2","4","NYY"
"18575","0","4","NYY"
"18576","2","4","NYY"
"18577","4","1","WSN"
"18578","4","2","WSN"
"18579","4","3","WSN"
"18580","4","1","WSN"
"18581","4","1","WSN"
"18582","4","2","WSN"
"18583","4","2","WSN"
"18584","4","3","WSN"
"18585","4","2","WSN"
"18586","4","1","WSN"
"18587","4","0","WSN"
"18588","4","1","WSN"
"18589","1","4","NYY"
"18590","4","2","WSN"
"18591","4","1","WSN"
"18592","4","1","WSN"
"18593","4","3","WSN"
"18594","3","4","NYY"
"18595","4","2","WSN"
"18596","2","4","NYY"
"18597","1","4","NYY"
"18598","4","0","WSN"
"18599","4","1","WSN"
"18600","3","4","NYY"
"18601","1","4","NYY"
"18602","3","4","NYY"
"18603","4","1","WSN"
"18604","1","4","NYY"
"18605","0","4","NYY"
"18606","4","0","WSN"
"18607","4","3","WSN"
"18608","4","2","WSN"
"18609","3","4","NYY"
"18610","4","2","WSN"
"18611","4","1","WSN"
"18612","2","4","NYY"
"18613","4","2","WSN"
"18614","4","2","WSN"
"18615","4","3","WSN"
"18616","4","1","WSN"
"18617","2","4","NYY"
"18618","1","4","NYY"
"18619","4","2","WSN"
"18620","4","0","WSN"
"18621","2","4","NYY"
"18622","4","3","WSN"
"18623","4","3","WSN"
"18624","1","4","NYY"
"18625","1","4","NYY"
"18626","3","4","NYY"
"18627","4","3","WSN"
"18628","1","4","NYY"
"18629","4","2","WSN"
"18630","4","3","WSN"
"18631","4","3","WSN"
"18632","1","4","NYY"
"18633","4","0","WSN"
"18634","4","2","WSN"
"18635","4","1","WSN"
"18636","3","4","NYY"
"18637","4","1","WSN"
"18638","4","0","WSN"
"18639","3","4","NYY"
"18640","4","2","WSN"
"18641","4","2","WSN"
"18642","4","0","WSN"
"18643","2","4","NYY"
"18644","2","4","NYY"
"18645","3","4","NYY"
"18646","3","4","NYY"
"18647","0","4","NYY"
"18648","3","4","NYY"
"18649","4","3","WSN"
"18650","2","4","NYY"
"18651","4","0","WSN"
"18652","4","0","WSN"
"18653","4","2","WSN"
"18654","4","3","WSN"
"18655","3","4","NYY"
"18656","3","4","NYY"
"18657","3","4","NYY"
"18658","4","2","WSN"
"18659","4","1","WSN"
"18660","4","2","WSN"
"18661","4","2","WSN"
"18662","4","1","WSN"
"18663","4","1","WSN"
"18664","4","1","WSN"
"18665","4","2","WSN"
"18666","1","4","NYY"
"18667","1","4","NYY"
"18668","1","4","NYY"
"18669","4","1","WSN"
"18670","3","4","NYY"
"18671","4","2","WSN"
"18672","1","4","NYY"
"18673","2","4","NYY"
"18674","2","4","NYY"
"18675","0","4","NYY"
"18676","4","0","WSN"
"18677","3","4","NYY"
"18678","4","2","WSN"
"18679","2","4","NYY"
"18680","3","4","NYY"
"18681","4","2","WSN"
"18682","4","2","WSN"
"18683","4","1","WSN"
"18684","4","1","WSN"
"18685","0","4","NYY"
"18686","0","4","NYY"
"18687","4","2","WSN"
"18688","1","4","NYY"
"18689","4","3","WSN"
"18690","4","3","WSN"
"18691","4","1","WSN"
"18692","0","4","NYY"
"18693","4","1","WSN"
"18694","4","3","WSN"
"18695","3","4","NYY"
"18696","4","3","WSN"
"18697","3","4","NYY"
"18698","4","2","WSN"
"18699","2","4","NYY"
"18700","4","3","WSN"
"18701","4","3","WSN"
"18702","4","0","WSN"
"18703","4","2","WSN"
"18704","4","2","WSN"
"18705","1","4","NYY"
"18706","3","4","NYY"
"18707","1","4","NYY"
"18708","4","1","WSN"
"18709","1","4","NYY"
"18710","4","2","WSN"
"18711","4","3","WSN"
"18712","4","0","WSN"
"18713","3","4","NYY"
"18714","2","4","NYY"
"18715","1","4","NYY"
"18716","4","3","WSN"
"18717","0","4","NYY"
"18718","0","4","NYY"
"18719","1","4","NYY"
"18720","2","4","NYY"
"18721","4","3","WSN"
"18722","3","4","NYY"
"18723","4","1","WSN"
"18724","4","2","WSN"
"18725","3","4","NYY"
"18726","1","4","NYY"
"18727","1","4","NYY"
"18728","3","4","NYY"
"18729","1","4","NYY"
"18730","2","4","NYY"
"18731","4","2","WSN"
"18732","4","2","WSN"
"18733","4","2","WSN"
"18734","4","2","WSN"
"18735","3","4","NYY"
"18736","3","4","NYY"
"18737","4","3","WSN"
"18738","2","4","NYY"
"18739","4","2","WSN"
"18740","2","4","NYY"
"18741","4","2","WSN"
"18742","4","2","WSN"
"18743","2","4","NYY"
"18744","3","4","NYY"
"18745","4","1","WSN"
"18746","4","3","WSN"
"18747","4","0","WSN"
"18748","1","4","NYY"
"18749","1","4","NYY"
"18750","1","4","NYY"
"18751","4","0","WSN"
"18752","4","2","WSN"
"18753","4","3","WSN"
"18754","3","4","NYY"
"18755","1","4","NYY"
"18756","3","4","NYY"
"18757","4","3","WSN"
"18758","4","2","WSN"
"18759","4","3","WSN"
"18760","1","4","NYY"
"18761","4","1","WSN"
"18762","4","3","WSN"
"18763","4","3","WSN"
"18764","3","4","NYY"
"18765","4","0","WSN"
"18766","4","1","WSN"
"18767","4","2","WSN"
"18768","4","3","WSN"
"18769","4","2","WSN"
"18770","4","2","WSN"
"18771","4","2","WSN"
"18772","4","3","WSN"
"18773","2","4","NYY"
"18774","3","4","NYY"
"18775","4","1","WSN"
"18776","1","4","NYY"
"18777","4","3","WSN"
"18778","0","4","NYY"
"18779","4","3","WSN"
"18780","4","1","WSN"
"18781","4","1","WSN"
"18782","3","4","NYY"
"18783","4","2","WSN"
"18784","4","2","WSN"
"18785","4","3","WSN"
"18786","3","4","NYY"
"18787","0","4","NYY"
"18788","4","0","WSN"
"18789","4","0","WSN"
"18790","4","3","WSN"
"18791","2","4","NYY"
"18792","4","2","WSN"
"18793","4","3","WSN"
"18794","4","3","WSN"
"18795","4","2","WSN"
"18796","4","2","WSN"
"18797","4","2","WSN"
"18798","0","4","NYY"
"18799","4","3","WSN"
"18800","4","2","WSN"
"18801","4","3","WSN"
"18802","4","2","WSN"
"18803","4","3","WSN"
"18804","1","4","NYY"
"18805","2","4","NYY"
"18806","1","4","NYY"
"18807","2","4","NYY"
"18808","4","3","WSN"
"18809","4","1","WSN"
"18810","4","1","WSN"
"18811","4","3","WSN"
"18812","3","4","NYY"
"18813","4","3","WSN"
"18814","1","4","NYY"
"18815","4","2","WSN"
"18816","4","1","WSN"
"18817","4","2","WSN"
"18818","4","3","WSN"
"18819","3","4","NYY"
"18820","4","2","WSN"
"18821","4","1","WSN"
"18822","0","4","NYY"
"18823","3","4","NYY"
"18824","3","4","NYY"
"18825","3","4","NYY"
"18826","1","4","NYY"
"18827","1","4","NYY"
"18828","3","4","NYY"
"18829","4","2","WSN"
"18830","2","4","NYY"
"18831","3","4","NYY"
"18832","1","4","NYY"
"18833","2","4","NYY"
"18834","4","1","WSN"
"18835","2","4","NYY"
"18836","1","4","NYY"
"18837","4","2","WSN"
"18838","4","2","WSN"
"18839","3","4","NYY"
"18840","4","1","WSN"
"18841","4","0","WSN"
"18842","4","2","WSN"
"18843","4","2","WSN"
"18844","4","2","WSN"
"18845","4","2","WSN"
"18846","4","3","WSN"
"18847","2","4","NYY"
"18848","3","4","NYY"
"18849","4","3","WSN"
"18850","3","4","NYY"
"18851","3","4","NYY"
"18852","3","4","NYY"
"18853","4","2","WSN"
"18854","4","2","WSN"
"18855","4","1","WSN"
"18856","4","0","WSN"
"18857","2","4","NYY"
"18858","3","4","NYY"
"18859","4","3","WSN"
"18860","4","3","WSN"
"18861","1","4","NYY"
"18862","4","3","WSN"
"18863","3","4","NYY"
"18864","4","2","WSN"
"18865","4","3","WSN"
"18866","3","4","NYY"
"18867","1","4","NYY"
"18868","4","1","WSN"
"18869","4","2","WSN"
"18870","1","4","NYY"
"18871","2","4","NYY"
"18872","4","3","WSN"
"18873","4","1","WSN"
"18874","2","4","NYY"
"18875","2","4","NYY"
"18876","4","2","WSN"
"18877","4","3","WSN"
"18878","3","4","NYY"
"18879","4","2","WSN"
"18880","4","2","WSN"
"18881","3","4","NYY"
"18882","2","4","NYY"
