"","MIN","NYY","Series Winner"
"5509","1","3","NYY"
"5510","3","1","MIN"
"5511","1","3","NYY"
"5512","3","1","MIN"
"5513","3","2","MIN"
"5514","3","1","MIN"
"5515","3","0","MIN"
"5516","1","3","NYY"
"5517","3","2","MIN"
"5518","3","0","MIN"
"5519","3","2","MIN"
"5520","3","0","MIN"
"5521","1","3","NYY"
"5522","2","3","NYY"
"5523","3","0","MIN"
"5524","3","2","MIN"
"5525","0","3","NYY"
"5526","1","3","NYY"
"5527","3","1","MIN"
"5528","0","3","NYY"
"5529","3","2","MIN"
"5530","0","3","NYY"
"5531","2","3","NYY"
"5532","3","2","MIN"
"5533","3","1","MIN"
"5534","3","2","MIN"
"5535","2","3","NYY"
"5536","1","3","NYY"
"5537","2","3","NYY"
"5538","3","2","MIN"
"5539","3","1","MIN"
"5540","3","1","MIN"
"5541","3","2","MIN"
"5542","1","3","NYY"
"5543","3","2","MIN"
"5544","3","2","MIN"
"5545","3","0","MIN"
"5546","3","1","MIN"
"5547","3","1","MIN"
"5548","0","3","NYY"
"5549","3","0","MIN"
"5550","3","0","MIN"
"5551","3","1","MIN"
"5552","1","3","NYY"
"5553","2","3","NYY"
"5554","2","3","NYY"
"5555","3","0","MIN"
"5556","1","3","NYY"
"5557","3","1","MIN"
"5558","3","1","MIN"
"5559","1","3","NYY"
"5560","3","2","MIN"
"5561","3","1","MIN"
"5562","0","3","NYY"
"5563","2","3","NYY"
"5564","3","0","MIN"
"5565","1","3","NYY"
"5566","2","3","NYY"
"5567","3","1","MIN"
"5568","2","3","NYY"
"5569","1","3","NYY"
"5570","3","2","MIN"
"5571","3","0","MIN"
"5572","3","1","MIN"
"5573","3","2","MIN"
"5574","2","3","NYY"
"5575","3","1","MIN"
"5576","2","3","NYY"
"5577","1","3","NYY"
"5578","3","2","MIN"
"5579","1","3","NYY"
"5580","3","1","MIN"
"5581","3","2","MIN"
"5582","0","3","NYY"
"5583","3","1","MIN"
"5584","1","3","NYY"
"5585","0","3","NYY"
"5586","3","1","MIN"
"5587","3","0","MIN"
"5588","2","3","NYY"
"5589","3","0","MIN"
"5590","3","0","MIN"
"5591","1","3","NYY"
"5592","3","2","MIN"
"5593","1","3","NYY"
"5594","3","0","MIN"
"5595","3","1","MIN"
"5596","3","1","MIN"
"5597","3","1","MIN"
"5598","2","3","NYY"
"5599","3","1","MIN"
"5600","3","2","MIN"
"5601","0","3","NYY"
"5602","0","3","NYY"
"5603","2","3","NYY"
"5604","0","3","NYY"
"5605","0","3","NYY"
"5606","2","3","NYY"
"5607","3","1","MIN"
"5608","0","3","NYY"
"5609","2","3","NYY"
"5610","0","3","NYY"
"5611","3","2","MIN"
"5612","3","0","MIN"
"5613","1","3","NYY"
"5614","3","0","MIN"
"5615","3","0","MIN"
"5616","3","2","MIN"
"5617","3","2","MIN"
"5618","3","2","MIN"
"5619","3","1","MIN"
"5620","3","0","MIN"
"5621","3","1","MIN"
"5622","3","1","MIN"
"5623","3","1","MIN"
"5624","0","3","NYY"
"5625","3","1","MIN"
"5626","1","3","NYY"
"5627","3","0","MIN"
"5628","3","0","MIN"
"5629","2","3","NYY"
"5630","2","3","NYY"
"5631","2","3","NYY"
"5632","3","2","MIN"
"5633","3","0","MIN"
"5634","3","2","MIN"
"5635","0","3","NYY"
"5636","3","0","MIN"
"5637","3","1","MIN"
"5638","3","0","MIN"
"5639","3","2","MIN"
"5640","3","1","MIN"
"5641","3","2","MIN"
"5642","0","3","NYY"
"5643","3","2","MIN"
"5644","3","2","MIN"
"5645","3","2","MIN"
"5646","3","0","MIN"
"5647","0","3","NYY"
"5648","2","3","NYY"
"5649","1","3","NYY"
"5650","3","2","MIN"
"5651","3","1","MIN"
"5652","3","0","MIN"
"5653","2","3","NYY"
"5654","3","0","MIN"
"5655","3","2","MIN"
"5656","2","3","NYY"
"5657","3","2","MIN"
"5658","0","3","NYY"
"5659","2","3","NYY"
"5660","3","1","MIN"
"5661","3","1","MIN"
"5662","3","2","MIN"
"5663","2","3","NYY"
"5664","3","1","MIN"
"5665","3","1","MIN"
"5666","3","1","MIN"
"5667","0","3","NYY"
"5668","0","3","NYY"
"5669","3","1","MIN"
"5670","3","1","MIN"
"5671","3","0","MIN"
"5672","3","1","MIN"
"5673","2","3","NYY"
"5674","0","3","NYY"
"5675","3","2","MIN"
"5676","3","1","MIN"
"5677","2","3","NYY"
"5678","2","3","NYY"
"5679","3","2","MIN"
"5680","3","1","MIN"
"5681","3","1","MIN"
"5682","2","3","NYY"
"5683","0","3","NYY"
"5684","3","2","MIN"
"5685","3","1","MIN"
"5686","3","0","MIN"
"5687","2","3","NYY"
"5688","3","1","MIN"
"5689","1","3","NYY"
"5690","2","3","NYY"
"5691","1","3","NYY"
"5692","3","1","MIN"
"5693","3","2","MIN"
"5694","3","1","MIN"
"5695","2","3","NYY"
"5696","3","1","MIN"
"5697","1","3","NYY"
"5698","3","1","MIN"
"5699","3","0","MIN"
"5700","2","3","NYY"
"5701","3","0","MIN"
"5702","3","0","MIN"
"5703","3","1","MIN"
"5704","1","3","NYY"
"5705","2","3","NYY"
"5706","3","1","MIN"
"5707","3","2","MIN"
"5708","3","1","MIN"
"5709","3","1","MIN"
"5710","2","3","NYY"
"5711","0","3","NYY"
"5712","3","2","MIN"
"5713","1","3","NYY"
"5714","3","1","MIN"
"5715","3","2","MIN"
"5716","0","3","NYY"
"5717","0","3","NYY"
"5718","3","2","MIN"
"5719","3","1","MIN"
"5720","1","3","NYY"
"5721","1","3","NYY"
"5722","1","3","NYY"
"5723","1","3","NYY"
"5724","3","0","MIN"
"5725","1","3","NYY"
"5726","2","3","NYY"
"5727","0","3","NYY"
"5728","3","1","MIN"
"5729","1","3","NYY"
"5730","1","3","NYY"
"5731","3","2","MIN"
"5732","3","0","MIN"
"5733","1","3","NYY"
"5734","2","3","NYY"
"5735","1","3","NYY"
"5736","1","3","NYY"
"5737","2","3","NYY"
"5738","2","3","NYY"
"5739","3","2","MIN"
"5740","2","3","NYY"
"5741","2","3","NYY"
"5742","3","1","MIN"
"5743","3","1","MIN"
"5744","3","0","MIN"
"5745","0","3","NYY"
"5746","3","0","MIN"
"5747","3","2","MIN"
"5748","3","0","MIN"
"5749","3","1","MIN"
"5750","1","3","NYY"
"5751","2","3","NYY"
"5752","3","1","MIN"
"5753","1","3","NYY"
"5754","3","0","MIN"
"5755","3","2","MIN"
"5756","2","3","NYY"
"5757","1","3","NYY"
"5758","0","3","NYY"
"5759","3","0","MIN"
"5760","3","2","MIN"
"5761","3","1","MIN"
"5762","3","1","MIN"
"5763","2","3","NYY"
"5764","1","3","NYY"
"5765","3","1","MIN"
"5766","2","3","NYY"
"5767","3","1","MIN"
"5768","0","3","NYY"
"5769","3","1","MIN"
"5770","3","1","MIN"
"5771","1","3","NYY"
"5772","3","2","MIN"
"5773","0","3","NYY"
"5774","3","2","MIN"
"5775","3","1","MIN"
"5776","0","3","NYY"
"5777","3","0","MIN"
"5778","3","0","MIN"
"5779","3","2","MIN"
"5780","3","0","MIN"
"5781","3","1","MIN"
"5782","1","3","NYY"
"5783","3","0","MIN"
"5784","3","2","MIN"
"5785","0","3","NYY"
"5786","2","3","NYY"
"5787","3","0","MIN"
"5788","1","3","NYY"
"5789","0","3","NYY"
"5790","2","3","NYY"
"5791","2","3","NYY"
"5792","3","2","MIN"
"5793","3","2","MIN"
"5794","3","2","MIN"
"5795","3","0","MIN"
"5796","2","3","NYY"
"5797","1","3","NYY"
"5798","2","3","NYY"
"5799","3","2","MIN"
"5800","2","3","NYY"
"5801","3","1","MIN"
"5802","3","1","MIN"
"5803","0","3","NYY"
"5804","3","1","MIN"
"5805","3","2","MIN"
"5806","2","3","NYY"
"5807","3","0","MIN"
"5808","2","3","NYY"
"5809","3","1","MIN"
"5810","2","3","NYY"
"5811","2","3","NYY"
"5812","3","1","MIN"
"5813","3","2","MIN"
"5814","3","2","MIN"
"5815","3","1","MIN"
"5816","3","1","MIN"
"5817","2","3","NYY"
"5818","3","1","MIN"
"5819","3","0","MIN"
"5820","3","2","MIN"
"5821","3","0","MIN"
"5822","3","1","MIN"
"5823","3","0","MIN"
"5824","3","2","MIN"
"5825","3","1","MIN"
"5826","2","3","NYY"
"5827","3","1","MIN"
"5828","1","3","NYY"
"5829","3","2","MIN"
"5830","3","1","MIN"
"5831","1","3","NYY"
"5832","0","3","NYY"
"5833","3","0","MIN"
"5834","3","2","MIN"
"5835","2","3","NYY"
"5836","3","0","MIN"
"5837","3","2","MIN"
"5838","2","3","NYY"
"5839","3","2","MIN"
"5840","3","1","MIN"
"5841","2","3","NYY"
"5842","3","2","MIN"
"5843","3","1","MIN"
"5844","3","1","MIN"
"5845","1","3","NYY"
"5846","3","2","MIN"
"5847","3","0","MIN"
"5848","3","0","MIN"
"5849","3","2","MIN"
"5850","3","0","MIN"
"5851","0","3","NYY"
"5852","3","1","MIN"
"5853","0","3","NYY"
"5854","1","3","NYY"
"5855","3","0","MIN"
"5856","3","1","MIN"
"5857","3","2","MIN"
"5858","2","3","NYY"
"5859","3","2","MIN"
"5860","3","1","MIN"
"5861","3","1","MIN"
"5862","0","3","NYY"
"5863","3","2","MIN"
"5864","2","3","NYY"
"5865","3","1","MIN"
"5866","3","1","MIN"
"5867","3","1","MIN"
"5868","3","2","MIN"
"5869","2","3","NYY"
"5870","1","3","NYY"
"5871","3","0","MIN"
"5872","3","0","MIN"
"5873","3","1","MIN"
"5874","1","3","NYY"
"5875","3","1","MIN"
"5876","3","0","MIN"
"5877","2","3","NYY"
"5878","2","3","NYY"
"5879","3","1","MIN"
"5880","1","3","NYY"
"5881","3","1","MIN"
"5882","0","3","NYY"
"5883","1","3","NYY"
"5884","2","3","NYY"
"5885","3","2","MIN"
"5886","3","1","MIN"
"5887","3","1","MIN"
"5888","3","0","MIN"
"5889","2","3","NYY"
"5890","3","1","MIN"
"5891","2","3","NYY"
"5892","3","0","MIN"
"5893","1","3","NYY"
"5894","3","0","MIN"
"5895","3","0","MIN"
"5896","2","3","NYY"
"5897","2","3","NYY"
"5898","2","3","NYY"
"5899","2","3","NYY"
"5900","3","1","MIN"
"5901","1","3","NYY"
"5902","2","3","NYY"
"5903","1","3","NYY"
"5904","3","2","MIN"
"5905","3","1","MIN"
"5906","3","2","MIN"
"5907","3","0","MIN"
"5908","3","2","MIN"
"5909","2","3","NYY"
"5910","3","1","MIN"
"5911","3","1","MIN"
"5912","3","1","MIN"
"5913","1","3","NYY"
"5914","3","1","MIN"
"5915","2","3","NYY"
"5916","3","1","MIN"
"5917","2","3","NYY"
"5918","1","3","NYY"
"5919","3","2","MIN"
"5920","1","3","NYY"
"5921","3","1","MIN"
"5922","3","2","MIN"
"5923","0","3","NYY"
"5924","3","2","MIN"
"5925","3","2","MIN"
"5926","3","1","MIN"
"5927","2","3","NYY"
"5928","3","1","MIN"
"5929","3","0","MIN"
"5930","0","3","NYY"
"5931","3","0","MIN"
"5932","3","1","MIN"
"5933","0","3","NYY"
"5934","0","3","NYY"
"5935","3","1","MIN"
"5936","0","3","NYY"
"5937","2","3","NYY"
"5938","3","2","MIN"
"5939","3","1","MIN"
"5940","3","1","MIN"
"5941","1","3","NYY"
"5942","0","3","NYY"
"5943","3","2","MIN"
"5944","3","0","MIN"
"5945","3","0","MIN"
"5946","0","3","NYY"
"5947","1","3","NYY"
"5948","2","3","NYY"
"5949","0","3","NYY"
"5950","2","3","NYY"
"5951","0","3","NYY"
"5952","3","2","MIN"
"5953","3","0","MIN"
"5954","3","0","MIN"
"5955","3","1","MIN"
"5956","3","1","MIN"
"5957","2","3","NYY"
"5958","3","1","MIN"
"5959","3","1","MIN"
"5960","1","3","NYY"
"5961","3","0","MIN"
"5962","2","3","NYY"
"5963","2","3","NYY"
"5964","3","1","MIN"
"5965","0","3","NYY"
"5966","0","3","NYY"
"5967","3","1","MIN"
"5968","2","3","NYY"
"5969","3","2","MIN"
"5970","0","3","NYY"
"5971","2","3","NYY"
"5972","2","3","NYY"
"5973","2","3","NYY"
"5974","2","3","NYY"
"5975","3","1","MIN"
"5976","0","3","NYY"
"5977","2","3","NYY"
"5978","3","0","MIN"
"5979","3","1","MIN"
"5980","0","3","NYY"
"5981","1","3","NYY"
"5982","1","3","NYY"
"5983","3","0","MIN"
"5984","3","2","MIN"
"5985","2","3","NYY"
"5986","2","3","NYY"
"5987","2","3","NYY"
"5988","3","1","MIN"
"5989","3","2","MIN"
"5990","3","2","MIN"
"5991","3","1","MIN"
"5992","3","2","MIN"
"5993","3","2","MIN"
"5994","2","3","NYY"
"5995","0","3","NYY"
"5996","3","0","MIN"
"5997","1","3","NYY"
"5998","3","1","MIN"
"5999","3","1","MIN"
"6000","1","3","NYY"
"6001","3","0","MIN"
"6002","1","3","NYY"
"6003","3","1","MIN"
"6004","3","1","MIN"
"6005","0","3","NYY"
"6006","1","3","NYY"
"6007","1","3","NYY"
"6008","1","3","NYY"
"6009","3","2","MIN"
"6010","1","3","NYY"
"6011","3","1","MIN"
"6012","3","1","MIN"
"6013","1","3","NYY"
"6014","0","3","NYY"
"6015","0","3","NYY"
"6016","3","0","MIN"
"6017","3","0","MIN"
"6018","2","3","NYY"
"6019","3","2","MIN"
"6020","1","3","NYY"
"6021","3","1","MIN"
"6022","3","0","MIN"
"6023","3","2","MIN"
"6024","0","3","NYY"
"6025","3","0","MIN"
"6026","3","1","MIN"
"6027","2","3","NYY"
"6028","3","1","MIN"
"6029","3","2","MIN"
"6030","2","3","NYY"
"6031","1","3","NYY"
"6032","3","0","MIN"
"6033","3","1","MIN"
"6034","3","1","MIN"
"6035","3","1","MIN"
"6036","3","2","MIN"
"6037","2","3","NYY"
"6038","3","0","MIN"
"6039","3","1","MIN"
"6040","0","3","NYY"
"6041","2","3","NYY"
"6042","3","1","MIN"
"6043","3","2","MIN"
"6044","2","3","NYY"
"6045","1","3","NYY"
"6046","0","3","NYY"
"6047","3","0","MIN"
"6048","2","3","NYY"
"6049","3","1","MIN"
"6050","3","0","MIN"
"6051","3","1","MIN"
"6052","3","2","MIN"
"6053","3","2","MIN"
"6054","3","0","MIN"
"6055","2","3","NYY"
"6056","3","2","MIN"
"6057","3","2","MIN"
"6058","3","0","MIN"
"6059","3","2","MIN"
"6060","3","1","MIN"
"6061","2","3","NYY"
"6062","3","0","MIN"
"6063","1","3","NYY"
"6064","3","2","MIN"
"6065","1","3","NYY"
"6066","1","3","NYY"
"6067","3","1","MIN"
"6068","1","3","NYY"
"6069","3","0","MIN"
"6070","2","3","NYY"
"6071","2","3","NYY"
"6072","3","2","MIN"
"6073","1","3","NYY"
"6074","2","3","NYY"
"6075","3","2","MIN"
"6076","3","1","MIN"
"6077","3","0","MIN"
"6078","2","3","NYY"
"6079","3","1","MIN"
"6080","0","3","NYY"
"6081","3","2","MIN"
"6082","2","3","NYY"
"6083","3","1","MIN"
"6084","3","2","MIN"
"6085","1","3","NYY"
"6086","2","3","NYY"
"6087","3","2","MIN"
"6088","2","3","NYY"
"6089","3","2","MIN"
"6090","1","3","NYY"
"6091","1","3","NYY"
"6092","3","0","MIN"
"6093","3","0","MIN"
"6094","3","1","MIN"
"6095","3","2","MIN"
"6096","0","3","NYY"
"6097","2","3","NYY"
"6098","0","3","NYY"
"6099","3","0","MIN"
"6100","3","1","MIN"
"6101","2","3","NYY"
"6102","3","1","MIN"
"6103","2","3","NYY"
"6104","3","2","MIN"
"6105","2","3","NYY"
"6106","1","3","NYY"
"6107","3","1","MIN"
"6108","3","0","MIN"
"6109","3","0","MIN"
"6110","1","3","NYY"
"6111","3","1","MIN"
"6112","3","2","MIN"
"6113","0","3","NYY"
"6114","2","3","NYY"
"6115","3","1","MIN"
"6116","1","3","NYY"
"6117","3","1","MIN"
"6118","2","3","NYY"
"6119","3","1","MIN"
"6120","3","2","MIN"
"6121","3","1","MIN"
"6122","0","3","NYY"
"6123","0","3","NYY"
"6124","3","1","MIN"
"6125","3","1","MIN"
"6126","3","2","MIN"
"6127","0","3","NYY"
"6128","3","0","MIN"
"6129","3","2","MIN"
"6130","1","3","NYY"
"6131","1","3","NYY"
"6132","3","1","MIN"
"6133","3","1","MIN"
"6134","3","1","MIN"
"6135","3","1","MIN"
"6136","3","2","MIN"
"6137","3","0","MIN"
"6138","3","2","MIN"
"6139","1","3","NYY"
"6140","3","2","MIN"
"6141","3","2","MIN"
"6142","3","1","MIN"
"6143","0","3","NYY"
"6144","2","3","NYY"
"6145","3","0","MIN"
"6146","3","1","MIN"
"6147","3","0","MIN"
"6148","3","1","MIN"
"6149","2","3","NYY"
"6150","3","0","MIN"
"6151","3","1","MIN"
"6152","0","3","NYY"
"6153","3","1","MIN"
"6154","0","3","NYY"
"6155","3","2","MIN"
"6156","0","3","NYY"
"6157","3","0","MIN"
"6158","1","3","NYY"
"6159","2","3","NYY"
"6160","0","3","NYY"
"6161","1","3","NYY"
"6162","2","3","NYY"
"6163","0","3","NYY"
"6164","3","1","MIN"
"6165","3","2","MIN"
"6166","3","2","MIN"
"6167","2","3","NYY"
"6168","3","2","MIN"
"6169","3","2","MIN"
"6170","3","2","MIN"
"6171","3","0","MIN"
"6172","3","2","MIN"
"6173","0","3","NYY"
"6174","3","1","MIN"
"6175","3","1","MIN"
"6176","1","3","NYY"
"6177","3","1","MIN"
"6178","2","3","NYY"
"6179","2","3","NYY"
"6180","3","1","MIN"
"6181","3","2","MIN"
"6182","3","1","MIN"
"6183","0","3","NYY"
"6184","3","2","MIN"
"6185","0","3","NYY"
"6186","3","0","MIN"
"6187","3","1","MIN"
"6188","3","1","MIN"
"6189","3","0","MIN"
"6190","1","3","NYY"
"6191","2","3","NYY"
"6192","3","2","MIN"
"6193","2","3","NYY"
"6194","3","0","MIN"
"6195","3","2","MIN"
"6196","1","3","NYY"
"6197","3","1","MIN"
"6198","2","3","NYY"
"6199","2","3","NYY"
"6200","3","1","MIN"
"6201","2","3","NYY"
"6202","3","0","MIN"
"6203","1","3","NYY"
"6204","0","3","NYY"
"6205","3","2","MIN"
"6206","3","2","MIN"
"6207","1","3","NYY"
"6208","3","1","MIN"
"6209","3","1","MIN"
"6210","2","3","NYY"
"6211","2","3","NYY"
"6212","3","0","MIN"
"6213","3","1","MIN"
"6214","3","0","MIN"
"6215","2","3","NYY"
"6216","3","1","MIN"
"6217","2","3","NYY"
"6218","3","0","MIN"
"6219","3","1","MIN"
"6220","1","3","NYY"
"6221","3","0","MIN"
"6222","3","2","MIN"
"6223","2","3","NYY"
"6224","0","3","NYY"
"6225","3","1","MIN"
"6226","2","3","NYY"
"6227","3","0","MIN"
"6228","2","3","NYY"
"6229","3","1","MIN"
"6230","3","1","MIN"
"6231","1","3","NYY"
"6232","2","3","NYY"
"6233","2","3","NYY"
"6234","3","1","MIN"
"6235","2","3","NYY"
"6236","3","2","MIN"
"6237","3","0","MIN"
"6238","3","0","MIN"
"6239","2","3","NYY"
"6240","3","0","MIN"
"6241","3","1","MIN"
"6242","3","1","MIN"
"6243","3","2","MIN"
"6244","3","1","MIN"
"6245","1","3","NYY"
"6246","3","0","MIN"
"6247","1","3","NYY"
"6248","0","3","NYY"
"6249","3","1","MIN"
"6250","3","0","MIN"
"6251","3","0","MIN"
"6252","3","1","MIN"
"6253","0","3","NYY"
"6254","3","2","MIN"
"6255","2","3","NYY"
"6256","3","0","MIN"
"6257","2","3","NYY"
"6258","3","0","MIN"
"6259","3","1","MIN"
"6260","3","0","MIN"
"6261","3","1","MIN"
"6262","3","2","MIN"
"6263","2","3","NYY"
"6264","3","2","MIN"
"6265","2","3","NYY"
"6266","3","1","MIN"
"6267","1","3","NYY"
"6268","3","0","MIN"
"6269","1","3","NYY"
"6270","3","0","MIN"
"6271","3","1","MIN"
"6272","0","3","NYY"
"6273","2","3","NYY"
"6274","3","0","MIN"
"6275","3","2","MIN"
"6276","3","2","MIN"
"6277","3","2","MIN"
"6278","3","0","MIN"
"6279","0","3","NYY"
"6280","3","1","MIN"
"6281","3","1","MIN"
"6282","2","3","NYY"
"6283","1","3","NYY"
"6284","3","2","MIN"
"6285","2","3","NYY"
"6286","2","3","NYY"
"6287","3","0","MIN"
"6288","3","2","MIN"
"6289","2","3","NYY"
"6290","3","2","MIN"
"6291","3","1","MIN"
"6292","3","2","MIN"
"6293","3","2","MIN"
"6294","3","0","MIN"
"6295","3","2","MIN"
"6296","0","3","NYY"
"6297","2","3","NYY"
"6298","0","3","NYY"
"6299","3","0","MIN"
"6300","3","0","MIN"
"6301","3","2","MIN"
"6302","3","1","MIN"
"6303","3","1","MIN"
"6304","3","1","MIN"
"6305","3","1","MIN"
"6306","2","3","NYY"
"6307","3","2","MIN"
"6308","1","3","NYY"
"6309","3","1","MIN"
"6310","3","0","MIN"
"6311","3","2","MIN"
"6312","3","0","MIN"
"6313","2","3","NYY"
"6314","3","1","MIN"
"6315","2","3","NYY"
"6316","0","3","NYY"
"6317","3","0","MIN"
"6318","0","3","NYY"
"6319","3","0","MIN"
"6320","3","0","MIN"
"6321","0","3","NYY"
"6322","3","2","MIN"
"6323","1","3","NYY"
"6324","3","1","MIN"
"6325","1","3","NYY"
"6326","3","1","MIN"
"6327","3","1","MIN"
"6328","3","0","MIN"
"6329","3","2","MIN"
"6330","1","3","NYY"
"6331","3","2","MIN"
"6332","3","1","MIN"
"6333","1","3","NYY"
"6334","2","3","NYY"
"6335","3","1","MIN"
"6336","2","3","NYY"
"6337","2","3","NYY"
"6338","0","3","NYY"
"6339","0","3","NYY"
"6340","0","3","NYY"
"6341","3","1","MIN"
"6342","1","3","NYY"
"6343","3","1","MIN"
"6344","2","3","NYY"
"6345","1","3","NYY"
"6346","3","0","MIN"
"6347","3","1","MIN"
"6348","0","3","NYY"
"6349","2","3","NYY"
"6350","2","3","NYY"
"6351","3","2","MIN"
"6352","3","1","MIN"
"6353","0","3","NYY"
"6354","3","0","MIN"
"6355","2","3","NYY"
"6356","1","3","NYY"
"6357","3","0","MIN"
"6358","3","1","MIN"
"6359","2","3","NYY"
"6360","2","3","NYY"
"6361","3","2","MIN"
"6362","3","2","MIN"
"6363","3","2","MIN"
"6364","3","0","MIN"
"6365","1","3","NYY"
"6366","3","1","MIN"
"6367","3","0","MIN"
"6368","1","3","NYY"
"6369","3","2","MIN"
"6370","3","1","MIN"
"6371","3","1","MIN"
"6372","3","1","MIN"
"6373","2","3","NYY"
"6374","3","2","MIN"
"6375","1","3","NYY"
"6376","1","3","NYY"
"6377","3","1","MIN"
"6378","0","3","NYY"
"6379","3","2","MIN"
"6380","0","3","NYY"
"6381","2","3","NYY"
"6382","2","3","NYY"
"6383","3","2","MIN"
"6384","3","0","MIN"
"6385","2","3","NYY"
"6386","1","3","NYY"
"6387","3","0","MIN"
"6388","2","3","NYY"
"6389","3","2","MIN"
"6390","3","1","MIN"
"6391","1","3","NYY"
"6392","3","0","MIN"
"6393","0","3","NYY"
"6394","0","3","NYY"
"6395","3","1","MIN"
"6396","3","2","MIN"
"6397","3","2","MIN"
"6398","1","3","NYY"
"6399","0","3","NYY"
"6400","2","3","NYY"
"6401","2","3","NYY"
"6402","2","3","NYY"
"6403","3","0","MIN"
"6404","3","1","MIN"
"6405","3","2","MIN"
"6406","1","3","NYY"
"6407","0","3","NYY"
"6408","2","3","NYY"
"6409","1","3","NYY"
"6410","2","3","NYY"
"6411","3","0","MIN"
"6412","2","3","NYY"
"6413","2","3","NYY"
"6414","3","2","MIN"
"6415","1","3","NYY"
"6416","3","2","MIN"
"6417","3","0","MIN"
"6418","3","2","MIN"
"6419","1","3","NYY"
"6420","3","2","MIN"
"6421","1","3","NYY"
"6422","2","3","NYY"
"6423","1","3","NYY"
"6424","3","1","MIN"
"6425","1","3","NYY"
"6426","3","2","MIN"
"6427","1","3","NYY"
"6428","3","0","MIN"
"6429","0","3","NYY"
"6430","0","3","NYY"
"6431","3","1","MIN"
"6432","3","2","MIN"
"6433","0","3","NYY"
"6434","1","3","NYY"
"6435","2","3","NYY"
"6436","2","3","NYY"
"6437","0","3","NYY"
"6438","2","3","NYY"
"6439","1","3","NYY"
"6440","2","3","NYY"
"6441","3","0","MIN"
"6442","3","2","MIN"
"6443","0","3","NYY"
"6444","3","2","MIN"
"6445","1","3","NYY"
"6446","2","3","NYY"
"6447","3","1","MIN"
"6448","0","3","NYY"
"6449","3","1","MIN"
"6450","3","1","MIN"
"6451","2","3","NYY"
"6452","2","3","NYY"
"6453","3","2","MIN"
"6454","3","0","MIN"
"6455","2","3","NYY"
"6456","1","3","NYY"
"6457","3","0","MIN"
"6458","3","1","MIN"
"6459","0","3","NYY"
"6460","0","3","NYY"
"6461","2","3","NYY"
"6462","3","0","MIN"
"6463","3","2","MIN"
"6464","3","0","MIN"
"6465","3","2","MIN"
"6466","2","3","NYY"
"6467","0","3","NYY"
"6468","3","1","MIN"
"6469","3","2","MIN"
"6470","1","3","NYY"
"6471","3","1","MIN"
"6472","1","3","NYY"
"6473","0","3","NYY"
"6474","3","2","MIN"
"6475","3","2","MIN"
"6476","3","2","MIN"
"6477","3","1","MIN"
"6478","3","1","MIN"
"6479","3","1","MIN"
"6480","3","1","MIN"
"6481","2","3","NYY"
"6482","1","3","NYY"
"6483","3","1","MIN"
"6484","3","1","MIN"
"6485","3","1","MIN"
"6486","2","3","NYY"
"6487","0","3","NYY"
"6488","2","3","NYY"
"6489","3","2","MIN"
"6490","3","2","MIN"
"6491","0","3","NYY"
"6492","3","2","MIN"
"6493","0","3","NYY"
"6494","3","1","MIN"
"6495","3","0","MIN"
"6496","3","2","MIN"
"6497","3","1","MIN"
"6498","3","0","MIN"
"6499","2","3","NYY"
"6500","3","0","MIN"
"6501","3","2","MIN"
"6502","1","3","NYY"
"6503","3","1","MIN"
"6504","3","1","MIN"
"6505","1","3","NYY"
"6506","3","1","MIN"
"6507","3","1","MIN"
"6508","0","3","NYY"
"6509","3","0","MIN"
"6510","3","2","MIN"
"6511","3","0","MIN"
"6512","0","3","NYY"
"6513","1","3","NYY"
"6514","3","2","MIN"
"6515","2","3","NYY"
"6516","3","2","MIN"
"6517","1","3","NYY"
"6518","1","3","NYY"
"6519","1","3","NYY"
"6520","3","1","MIN"
"6521","3","0","MIN"
"6522","3","2","MIN"
"6523","0","3","NYY"
"6524","2","3","NYY"
"6525","1","3","NYY"
"6526","0","3","NYY"
"6527","3","2","MIN"
"6528","3","1","MIN"
"6529","0","3","NYY"
"6530","1","3","NYY"
"6531","3","1","MIN"
"6532","3","1","MIN"
"6533","2","3","NYY"
"6534","3","1","MIN"
"6535","0","3","NYY"
"6536","0","3","NYY"
"6537","1","3","NYY"
"6538","3","2","MIN"
"6539","3","0","MIN"
"6540","3","2","MIN"
"6541","2","3","NYY"
"6542","3","2","MIN"
"6543","2","3","NYY"
"6544","3","0","MIN"
"6545","3","0","MIN"
"6546","3","0","MIN"
"6547","1","3","NYY"
"6548","3","1","MIN"
"6549","3","2","MIN"
"6550","2","3","NYY"
"6551","3","2","MIN"
"6552","2","3","NYY"
"6553","0","3","NYY"
"6554","3","2","MIN"
"6555","3","1","MIN"
"6556","3","2","MIN"
"6557","2","3","NYY"
"6558","3","1","MIN"
"6559","3","2","MIN"
"6560","3","0","MIN"
"6561","3","2","MIN"
"6562","3","2","MIN"
"6563","3","2","MIN"
"6564","3","2","MIN"
"6565","3","1","MIN"
"6566","2","3","NYY"
"6567","3","0","MIN"
"6568","0","3","NYY"
"6569","0","3","NYY"
"6570","3","1","MIN"
"6571","2","3","NYY"
"6572","1","3","NYY"
"6573","3","2","MIN"
"6574","3","2","MIN"
"6575","3","2","MIN"
"6576","3","1","MIN"
"6577","3","0","MIN"
"6578","3","0","MIN"
"6579","3","2","MIN"
"6580","2","3","NYY"
"6581","3","2","MIN"
"6582","2","3","NYY"
"6583","3","1","MIN"
