"","OAK","HOU","Series Winner"
"31996","2","3","HOU"
"31997","3","1","OAK"
"31998","1","3","HOU"
"31999","1","3","HOU"
"32000","3","0","OAK"
"32001","3","0","OAK"
"32002","0","3","HOU"
"32003","2","3","HOU"
"32004","2","3","HOU"
"32005","1","3","HOU"
"32006","3","2","OAK"
"32007","3","0","OAK"
"32008","2","3","HOU"
"32009","2","3","HOU"
"32010","2","3","HOU"
"32011","3","2","OAK"
"32012","2","3","HOU"
"32013","3","1","OAK"
"32014","1","3","HOU"
"32015","2","3","HOU"
"32016","2","3","HOU"
"32017","1","3","HOU"
"32018","1","3","HOU"
"32019","0","3","HOU"
"32020","0","3","HOU"
"32021","3","1","OAK"
"32022","0","3","HOU"
"32023","3","1","OAK"
"32024","1","3","HOU"
"32025","1","3","HOU"
"32026","3","2","OAK"
"32027","2","3","HOU"
"32028","1","3","HOU"
"32029","1","3","HOU"
"32030","0","3","HOU"
"32031","3","1","OAK"
"32032","1","3","HOU"
"32033","1","3","HOU"
"32034","1","3","HOU"
"32035","1","3","HOU"
"32036","2","3","HOU"
"32037","0","3","HOU"
"32038","1","3","HOU"
"32039","3","2","OAK"
"32040","1","3","HOU"
"32041","2","3","HOU"
"32042","2","3","HOU"
"32043","1","3","HOU"
"32044","2","3","HOU"
"32045","0","3","HOU"
"32046","0","3","HOU"
"32047","1","3","HOU"
"32048","1","3","HOU"
"32049","1","3","HOU"
"32050","1","3","HOU"
"32051","0","3","HOU"
"32052","2","3","HOU"
"32053","2","3","HOU"
"32054","0","3","HOU"
"32055","0","3","HOU"
"32056","1","3","HOU"
"32057","3","2","OAK"
"32058","1","3","HOU"
"32059","3","1","OAK"
"32060","1","3","HOU"
"32061","0","3","HOU"
"32062","1","3","HOU"
"32063","2","3","HOU"
"32064","2","3","HOU"
"32065","2","3","HOU"
"32066","1","3","HOU"
"32067","3","2","OAK"
"32068","0","3","HOU"
"32069","1","3","HOU"
"32070","3","0","OAK"
"32071","3","0","OAK"
"32072","2","3","HOU"
"32073","2","3","HOU"
"32074","2","3","HOU"
"32075","3","1","OAK"
"32076","1","3","HOU"
"32077","0","3","HOU"
"32078","1","3","HOU"
"32079","1","3","HOU"
"32080","0","3","HOU"
"32081","0","3","HOU"
"32082","0","3","HOU"
"32083","0","3","HOU"
"32084","0","3","HOU"
"32085","0","3","HOU"
"32086","2","3","HOU"
"32087","1","3","HOU"
"32088","3","1","OAK"
"32089","1","3","HOU"
"32090","0","3","HOU"
"32091","2","3","HOU"
"32092","0","3","HOU"
"32093","3","0","OAK"
"32094","1","3","HOU"
"32095","1","3","HOU"
"32096","2","3","HOU"
"32097","3","2","OAK"
"32098","3","2","OAK"
"32099","0","3","HOU"
"32100","1","3","HOU"
"32101","0","3","HOU"
"32102","2","3","HOU"
"32103","2","3","HOU"
"32104","0","3","HOU"
"32105","3","1","OAK"
"32106","2","3","HOU"
"32107","1","3","HOU"
"32108","1","3","HOU"
"32109","1","3","HOU"
"32110","1","3","HOU"
"32111","3","0","OAK"
"32112","1","3","HOU"
"32113","2","3","HOU"
"32114","3","2","OAK"
"32115","0","3","HOU"
"32116","1","3","HOU"
"32117","3","2","OAK"
"32118","2","3","HOU"
"32119","0","3","HOU"
"32120","0","3","HOU"
"32121","0","3","HOU"
"32122","2","3","HOU"
"32123","0","3","HOU"
"32124","0","3","HOU"
"32125","1","3","HOU"
"32126","1","3","HOU"
"32127","2","3","HOU"
"32128","1","3","HOU"
"32129","0","3","HOU"
"32130","1","3","HOU"
"32131","0","3","HOU"
"32132","1","3","HOU"
"32133","1","3","HOU"
"32134","1","3","HOU"
"32135","1","3","HOU"
"32136","3","2","OAK"
"32137","2","3","HOU"
"32138","3","2","OAK"
"32139","1","3","HOU"
"32140","0","3","HOU"
"32141","2","3","HOU"
"32142","2","3","HOU"
"32143","3","1","OAK"
"32144","1","3","HOU"
"32145","1","3","HOU"
"32146","2","3","HOU"
"32147","3","1","OAK"
"32148","1","3","HOU"
"32149","1","3","HOU"
"32150","2","3","HOU"
"32151","0","3","HOU"
"32152","2","3","HOU"
"32153","3","2","OAK"
"32154","3","2","OAK"
"32155","1","3","HOU"
"32156","1","3","HOU"
"32157","1","3","HOU"
"32158","3","2","OAK"
"32159","3","1","OAK"
"32160","3","0","OAK"
"32161","0","3","HOU"
"32162","2","3","HOU"
"32163","1","3","HOU"
"32164","2","3","HOU"
"32165","0","3","HOU"
"32166","0","3","HOU"
"32167","0","3","HOU"
"32168","3","1","OAK"
"32169","0","3","HOU"
"32170","3","0","OAK"
"32171","3","2","OAK"
"32172","3","2","OAK"
"32173","1","3","HOU"
"32174","0","3","HOU"
"32175","2","3","HOU"
"32176","1","3","HOU"
"32177","1","3","HOU"
"32178","1","3","HOU"
"32179","2","3","HOU"
"32180","1","3","HOU"
"32181","1","3","HOU"
"32182","3","1","OAK"
"32183","1","3","HOU"
"32184","3","0","OAK"
"32185","3","1","OAK"
"32186","3","2","OAK"
"32187","1","3","HOU"
"32188","2","3","HOU"
"32189","2","3","HOU"
"32190","3","2","OAK"
"32191","3","1","OAK"
"32192","2","3","HOU"
"32193","0","3","HOU"
"32194","0","3","HOU"
"32195","2","3","HOU"
"32196","3","1","OAK"
"32197","1","3","HOU"
"32198","0","3","HOU"
"32199","1","3","HOU"
"32200","1","3","HOU"
"32201","1","3","HOU"
"32202","0","3","HOU"
"32203","1","3","HOU"
"32204","3","0","OAK"
"32205","0","3","HOU"
"32206","3","1","OAK"
"32207","0","3","HOU"
"32208","0","3","HOU"
"32209","3","0","OAK"
"32210","1","3","HOU"
"32211","1","3","HOU"
"32212","3","0","OAK"
"32213","1","3","HOU"
"32214","0","3","HOU"
"32215","0","3","HOU"
"32216","2","3","HOU"
"32217","2","3","HOU"
"32218","3","0","OAK"
"32219","1","3","HOU"
"32220","1","3","HOU"
"32221","2","3","HOU"
"32222","0","3","HOU"
"32223","2","3","HOU"
"32224","2","3","HOU"
"32225","2","3","HOU"
"32226","1","3","HOU"
"32227","2","3","HOU"
"32228","3","0","OAK"
"32229","0","3","HOU"
"32230","0","3","HOU"
"32231","0","3","HOU"
"32232","3","0","OAK"
"32233","3","1","OAK"
"32234","1","3","HOU"
"32235","1","3","HOU"
"32236","1","3","HOU"
"32237","0","3","HOU"
"32238","3","1","OAK"
"32239","0","3","HOU"
"32240","2","3","HOU"
"32241","1","3","HOU"
"32242","0","3","HOU"
"32243","3","1","OAK"
"32244","3","0","OAK"
"32245","0","3","HOU"
"32246","1","3","HOU"
"32247","2","3","HOU"
"32248","3","1","OAK"
"32249","1","3","HOU"
"32250","0","3","HOU"
"32251","3","1","OAK"
"32252","3","2","OAK"
"32253","1","3","HOU"
"32254","1","3","HOU"
"32255","2","3","HOU"
"32256","2","3","HOU"
"32257","0","3","HOU"
"32258","3","1","OAK"
"32259","0","3","HOU"
"32260","3","2","OAK"
"32261","1","3","HOU"
"32262","3","1","OAK"
"32263","1","3","HOU"
"32264","0","3","HOU"
"32265","1","3","HOU"
"32266","2","3","HOU"
"32267","1","3","HOU"
"32268","1","3","HOU"
"32269","0","3","HOU"
"32270","1","3","HOU"
"32271","1","3","HOU"
"32272","1","3","HOU"
"32273","2","3","HOU"
"32274","2","3","HOU"
"32275","3","0","OAK"
"32276","2","3","HOU"
"32277","1","3","HOU"
"32278","3","1","OAK"
"32279","1","3","HOU"
"32280","0","3","HOU"
"32281","2","3","HOU"
"32282","3","2","OAK"
"32283","2","3","HOU"
"32284","1","3","HOU"
"32285","0","3","HOU"
"32286","3","0","OAK"
"32287","3","1","OAK"
"32288","2","3","HOU"
"32289","1","3","HOU"
"32290","1","3","HOU"
"32291","0","3","HOU"
"32292","0","3","HOU"
"32293","1","3","HOU"
"32294","0","3","HOU"
"32295","1","3","HOU"
"32296","3","2","OAK"
"32297","3","2","OAK"
"32298","3","2","OAK"
"32299","0","3","HOU"
"32300","0","3","HOU"
"32301","1","3","HOU"
"32302","1","3","HOU"
"32303","1","3","HOU"
"32304","0","3","HOU"
"32305","1","3","HOU"
"32306","2","3","HOU"
"32307","1","3","HOU"
"32308","0","3","HOU"
"32309","3","0","OAK"
"32310","1","3","HOU"
"32311","0","3","HOU"
"32312","0","3","HOU"
"32313","1","3","HOU"
"32314","1","3","HOU"
"32315","0","3","HOU"
"32316","3","1","OAK"
"32317","3","1","OAK"
"32318","1","3","HOU"
"32319","2","3","HOU"
"32320","1","3","HOU"
"32321","2","3","HOU"
"32322","1","3","HOU"
"32323","1","3","HOU"
"32324","1","3","HOU"
"32325","3","1","OAK"
"32326","2","3","HOU"
"32327","2","3","HOU"
"32328","0","3","HOU"
"32329","0","3","HOU"
"32330","0","3","HOU"
"32331","3","2","OAK"
"32332","0","3","HOU"
"32333","2","3","HOU"
"32334","3","2","OAK"
"32335","2","3","HOU"
"32336","0","3","HOU"
"32337","1","3","HOU"
"32338","1","3","HOU"
"32339","0","3","HOU"
"32340","3","0","OAK"
"32341","2","3","HOU"
"32342","1","3","HOU"
"32343","0","3","HOU"
"32344","1","3","HOU"
"32345","3","2","OAK"
"32346","1","3","HOU"
"32347","0","3","HOU"
"32348","1","3","HOU"
"32349","3","2","OAK"
"32350","0","3","HOU"
"32351","2","3","HOU"
"32352","2","3","HOU"
"32353","3","1","OAK"
"32354","2","3","HOU"
"32355","0","3","HOU"
"32356","0","3","HOU"
"32357","2","3","HOU"
"32358","3","1","OAK"
"32359","1","3","HOU"
"32360","2","3","HOU"
"32361","0","3","HOU"
"32362","0","3","HOU"
"32363","3","1","OAK"
"32364","3","2","OAK"
"32365","0","3","HOU"
"32366","3","1","OAK"
"32367","2","3","HOU"
"32368","3","2","OAK"
"32369","0","3","HOU"
"32370","0","3","HOU"
"32371","3","2","OAK"
"32372","1","3","HOU"
"32373","0","3","HOU"
"32374","3","2","OAK"
"32375","0","3","HOU"
"32376","0","3","HOU"
"32377","2","3","HOU"
"32378","2","3","HOU"
"32379","3","0","OAK"
"32380","1","3","HOU"
"32381","2","3","HOU"
"32382","1","3","HOU"
"32383","3","1","OAK"
"32384","1","3","HOU"
"32385","2","3","HOU"
"32386","0","3","HOU"
"32387","0","3","HOU"
"32388","3","0","OAK"
"32389","1","3","HOU"
"32390","0","3","HOU"
"32391","1","3","HOU"
"32392","0","3","HOU"
"32393","1","3","HOU"
"32394","0","3","HOU"
"32395","1","3","HOU"
"32396","1","3","HOU"
"32397","2","3","HOU"
"32398","3","1","OAK"
"32399","1","3","HOU"
"32400","2","3","HOU"
"32401","3","1","OAK"
"32402","2","3","HOU"
"32403","1","3","HOU"
"32404","1","3","HOU"
"32405","1","3","HOU"
"32406","0","3","HOU"
"32407","3","2","OAK"
"32408","0","3","HOU"
"32409","0","3","HOU"
"32410","3","1","OAK"
"32411","1","3","HOU"
"32412","1","3","HOU"
"32413","1","3","HOU"
"32414","3","1","OAK"
"32415","0","3","HOU"
"32416","0","3","HOU"
"32417","0","3","HOU"
"32418","3","0","OAK"
"32419","1","3","HOU"
"32420","0","3","HOU"
"32421","3","1","OAK"
"32422","1","3","HOU"
"32423","1","3","HOU"
"32424","3","1","OAK"
"32425","0","3","HOU"
"32426","1","3","HOU"
"32427","0","3","HOU"
"32428","1","3","HOU"
"32429","3","2","OAK"
"32430","0","3","HOU"
"32431","0","3","HOU"
"32432","1","3","HOU"
"32433","3","0","OAK"
"32434","3","2","OAK"
"32435","3","0","OAK"
"32436","2","3","HOU"
"32437","1","3","HOU"
"32438","3","1","OAK"
"32439","0","3","HOU"
"32440","3","0","OAK"
"32441","3","0","OAK"
"32442","1","3","HOU"
"32443","0","3","HOU"
"32444","0","3","HOU"
"32445","1","3","HOU"
"32446","2","3","HOU"
"32447","3","1","OAK"
"32448","3","1","OAK"
"32449","0","3","HOU"
"32450","0","3","HOU"
"32451","0","3","HOU"
"32452","1","3","HOU"
"32453","0","3","HOU"
"32454","3","2","OAK"
"32455","0","3","HOU"
"32456","3","2","OAK"
"32457","0","3","HOU"
"32458","2","3","HOU"
"32459","0","3","HOU"
"32460","0","3","HOU"
"32461","3","2","OAK"
"32462","1","3","HOU"
"32463","2","3","HOU"
"32464","2","3","HOU"
"32465","0","3","HOU"
"32466","3","0","OAK"
"32467","3","2","OAK"
"32468","1","3","HOU"
"32469","2","3","HOU"
"32470","2","3","HOU"
"32471","1","3","HOU"
"32472","2","3","HOU"
"32473","3","1","OAK"
"32474","1","3","HOU"
"32475","1","3","HOU"
"32476","0","3","HOU"
"32477","1","3","HOU"
"32478","1","3","HOU"
"32479","2","3","HOU"
"32480","2","3","HOU"
"32481","2","3","HOU"
"32482","1","3","HOU"
"32483","3","1","OAK"
"32484","0","3","HOU"
"32485","1","3","HOU"
"32486","1","3","HOU"
"32487","3","1","OAK"
"32488","1","3","HOU"
"32489","1","3","HOU"
"32490","3","0","OAK"
"32491","3","2","OAK"
"32492","0","3","HOU"
"32493","0","3","HOU"
"32494","2","3","HOU"
"32495","2","3","HOU"
"32496","0","3","HOU"
"32497","3","2","OAK"
"32498","1","3","HOU"
"32499","1","3","HOU"
"32500","0","3","HOU"
"32501","2","3","HOU"
"32502","2","3","HOU"
"32503","2","3","HOU"
"32504","2","3","HOU"
"32505","2","3","HOU"
"32506","3","1","OAK"
"32507","3","1","OAK"
"32508","2","3","HOU"
"32509","2","3","HOU"
"32510","2","3","HOU"
"32511","1","3","HOU"
"32512","3","2","OAK"
"32513","3","1","OAK"
"32514","2","3","HOU"
"32515","3","2","OAK"
"32516","0","3","HOU"
"32517","2","3","HOU"
"32518","2","3","HOU"
"32519","3","0","OAK"
"32520","2","3","HOU"
"32521","0","3","HOU"
"32522","3","1","OAK"
"32523","1","3","HOU"
"32524","0","3","HOU"
"32525","0","3","HOU"
"32526","1","3","HOU"
"32527","3","1","OAK"
"32528","1","3","HOU"
"32529","1","3","HOU"
"32530","3","2","OAK"
"32531","1","3","HOU"
"32532","0","3","HOU"
"32533","2","3","HOU"
"32534","2","3","HOU"
"32535","3","2","OAK"
"32536","1","3","HOU"
"32537","3","0","OAK"
"32538","2","3","HOU"
"32539","1","3","HOU"
"32540","2","3","HOU"
"32541","1","3","HOU"
"32542","1","3","HOU"
"32543","1","3","HOU"
"32544","0","3","HOU"
"32545","0","3","HOU"
"32546","2","3","HOU"
"32547","0","3","HOU"
"32548","0","3","HOU"
"32549","0","3","HOU"
"32550","3","2","OAK"
"32551","1","3","HOU"
"32552","3","0","OAK"
"32553","0","3","HOU"
"32554","3","2","OAK"
"32555","0","3","HOU"
"32556","1","3","HOU"
"32557","1","3","HOU"
"32558","3","1","OAK"
"32559","2","3","HOU"
"32560","0","3","HOU"
"32561","2","3","HOU"
"32562","3","1","OAK"
"32563","0","3","HOU"
"32564","3","0","OAK"
"32565","0","3","HOU"
"32566","1","3","HOU"
"32567","3","2","OAK"
"32568","0","3","HOU"
"32569","2","3","HOU"
"32570","2","3","HOU"
"32571","1","3","HOU"
"32572","2","3","HOU"
"32573","2","3","HOU"
"32574","1","3","HOU"
"32575","3","0","OAK"
"32576","0","3","HOU"
"32577","1","3","HOU"
"32578","0","3","HOU"
"32579","0","3","HOU"
"32580","1","3","HOU"
"32581","1","3","HOU"
"32582","2","3","HOU"
"32583","0","3","HOU"
"32584","3","1","OAK"
"32585","3","0","OAK"
"32586","2","3","HOU"
"32587","2","3","HOU"
"32588","2","3","HOU"
"32589","2","3","HOU"
"32590","1","3","HOU"
"32591","2","3","HOU"
"32592","3","2","OAK"
"32593","1","3","HOU"
"32594","1","3","HOU"
"32595","3","2","OAK"
"32596","0","3","HOU"
"32597","2","3","HOU"
"32598","0","3","HOU"
"32599","3","0","OAK"
"32600","2","3","HOU"
"32601","1","3","HOU"
"32602","0","3","HOU"
"32603","2","3","HOU"
"32604","0","3","HOU"
"32605","0","3","HOU"
"32606","3","0","OAK"
"32607","3","1","OAK"
"32608","3","1","OAK"
"32609","0","3","HOU"
"32610","2","3","HOU"
"32611","3","0","OAK"
"32612","2","3","HOU"
"32613","0","3","HOU"
"32614","0","3","HOU"
"32615","0","3","HOU"
"32616","3","2","OAK"
"32617","3","0","OAK"
"32618","1","3","HOU"
"32619","2","3","HOU"
"32620","0","3","HOU"
"32621","3","1","OAK"
"32622","2","3","HOU"
"32623","2","3","HOU"
"32624","2","3","HOU"
"32625","3","1","OAK"
"32626","3","2","OAK"
"32627","2","3","HOU"
"32628","1","3","HOU"
"32629","2","3","HOU"
"32630","3","1","OAK"
"32631","2","3","HOU"
"32632","1","3","HOU"
"32633","1","3","HOU"
"32634","0","3","HOU"
"32635","1","3","HOU"
"32636","3","2","OAK"
"32637","0","3","HOU"
"32638","1","3","HOU"
"32639","2","3","HOU"
"32640","0","3","HOU"
"32641","2","3","HOU"
"32642","0","3","HOU"
"32643","0","3","HOU"
"32644","3","2","OAK"
"32645","2","3","HOU"
"32646","1","3","HOU"
"32647","3","0","OAK"
"32648","1","3","HOU"
"32649","0","3","HOU"
"32650","1","3","HOU"
"32651","1","3","HOU"
"32652","3","1","OAK"
"32653","3","1","OAK"
"32654","1","3","HOU"
"32655","1","3","HOU"
"32656","1","3","HOU"
"32657","0","3","HOU"
"32658","1","3","HOU"
"32659","1","3","HOU"
"32660","2","3","HOU"
"32661","2","3","HOU"
"32662","2","3","HOU"
"32663","1","3","HOU"
"32664","0","3","HOU"
"32665","0","3","HOU"
"32666","1","3","HOU"
"32667","0","3","HOU"
"32668","3","1","OAK"
"32669","1","3","HOU"
"32670","0","3","HOU"
"32671","2","3","HOU"
"32672","1","3","HOU"
"32673","1","3","HOU"
"32674","2","3","HOU"
"32675","1","3","HOU"
"32676","0","3","HOU"
"32677","2","3","HOU"
"32678","3","0","OAK"
"32679","1","3","HOU"
"32680","2","3","HOU"
"32681","0","3","HOU"
"32682","3","1","OAK"
"32683","1","3","HOU"
"32684","2","3","HOU"
"32685","0","3","HOU"
"32686","0","3","HOU"
"32687","0","3","HOU"
"32688","1","3","HOU"
"32689","2","3","HOU"
"32690","0","3","HOU"
"32691","1","3","HOU"
"32692","0","3","HOU"
"32693","2","3","HOU"
"32694","0","3","HOU"
"32695","2","3","HOU"
"32696","2","3","HOU"
"32697","0","3","HOU"
"32698","1","3","HOU"
"32699","0","3","HOU"
"32700","3","2","OAK"
"32701","0","3","HOU"
"32702","1","3","HOU"
"32703","2","3","HOU"
"32704","2","3","HOU"
"32705","1","3","HOU"
"32706","1","3","HOU"
"32707","0","3","HOU"
"32708","3","0","OAK"
"32709","0","3","HOU"
"32710","2","3","HOU"
"32711","2","3","HOU"
"32712","0","3","HOU"
"32713","0","3","HOU"
"32714","1","3","HOU"
"32715","2","3","HOU"
"32716","2","3","HOU"
"32717","1","3","HOU"
"32718","2","3","HOU"
"32719","1","3","HOU"
"32720","1","3","HOU"
"32721","3","2","OAK"
"32722","2","3","HOU"
"32723","1","3","HOU"
"32724","0","3","HOU"
"32725","0","3","HOU"
"32726","1","3","HOU"
"32727","2","3","HOU"
"32728","1","3","HOU"
"32729","1","3","HOU"
"32730","1","3","HOU"
"32731","3","1","OAK"
"32732","2","3","HOU"
"32733","1","3","HOU"
"32734","1","3","HOU"
"32735","2","3","HOU"
"32736","1","3","HOU"
"32737","0","3","HOU"
"32738","2","3","HOU"
"32739","0","3","HOU"
"32740","3","1","OAK"
"32741","2","3","HOU"
"32742","0","3","HOU"
"32743","3","2","OAK"
"32744","1","3","HOU"
"32745","2","3","HOU"
"32746","0","3","HOU"
"32747","1","3","HOU"
"32748","1","3","HOU"
"32749","3","2","OAK"
"32750","0","3","HOU"
"32751","3","1","OAK"
"32752","2","3","HOU"
"32753","0","3","HOU"
"32754","2","3","HOU"
"32755","2","3","HOU"
"32756","1","3","HOU"
"32757","0","3","HOU"
"32758","2","3","HOU"
"32759","2","3","HOU"
"32760","2","3","HOU"
"32761","3","1","OAK"
"32762","0","3","HOU"
"32763","1","3","HOU"
"32764","2","3","HOU"
"32765","3","1","OAK"
"32766","1","3","HOU"
"32767","0","3","HOU"
"32768","2","3","HOU"
"32769","1","3","HOU"
"32770","0","3","HOU"
"32771","2","3","HOU"
"32772","1","3","HOU"
"32773","2","3","HOU"
"32774","1","3","HOU"
"32775","2","3","HOU"
"32776","3","2","OAK"
"32777","1","3","HOU"
"32778","2","3","HOU"
"32779","0","3","HOU"
"32780","2","3","HOU"
"32781","3","2","OAK"
"32782","3","1","OAK"
"32783","1","3","HOU"
"32784","2","3","HOU"
"32785","0","3","HOU"
"32786","0","3","HOU"
"32787","1","3","HOU"
"32788","2","3","HOU"
"32789","0","3","HOU"
"32790","0","3","HOU"
"32791","1","3","HOU"
"32792","1","3","HOU"
"32793","0","3","HOU"
"32794","1","3","HOU"
"32795","3","0","OAK"
"32796","0","3","HOU"
"32797","2","3","HOU"
"32798","0","3","HOU"
"32799","1","3","HOU"
"32800","1","3","HOU"
"32801","3","2","OAK"
"32802","2","3","HOU"
"32803","1","3","HOU"
"32804","2","3","HOU"
"32805","1","3","HOU"
"32806","0","3","HOU"
"32807","1","3","HOU"
"32808","0","3","HOU"
"32809","3","1","OAK"
"32810","3","1","OAK"
"32811","2","3","HOU"
"32812","1","3","HOU"
"32813","1","3","HOU"
"32814","0","3","HOU"
"32815","1","3","HOU"
"32816","2","3","HOU"
"32817","0","3","HOU"
"32818","2","3","HOU"
"32819","2","3","HOU"
"32820","3","0","OAK"
"32821","1","3","HOU"
"32822","1","3","HOU"
"32823","0","3","HOU"
"32824","3","1","OAK"
"32825","2","3","HOU"
"32826","1","3","HOU"
"32827","3","1","OAK"
"32828","1","3","HOU"
"32829","1","3","HOU"
"32830","0","3","HOU"
"32831","3","2","OAK"
"32832","0","3","HOU"
"32833","2","3","HOU"
"32834","2","3","HOU"
"32835","2","3","HOU"
"32836","2","3","HOU"
"32837","3","1","OAK"
"32838","3","1","OAK"
"32839","1","3","HOU"
"32840","0","3","HOU"
"32841","1","3","HOU"
"32842","2","3","HOU"
"32843","2","3","HOU"
"32844","1","3","HOU"
"32845","1","3","HOU"
"32846","0","3","HOU"
"32847","0","3","HOU"
"32848","2","3","HOU"
"32849","2","3","HOU"
"32850","2","3","HOU"
"32851","0","3","HOU"
"32852","2","3","HOU"
"32853","2","3","HOU"
"32854","2","3","HOU"
"32855","0","3","HOU"
"32856","0","3","HOU"
"32857","2","3","HOU"
"32858","1","3","HOU"
"32859","2","3","HOU"
"32860","1","3","HOU"
"32861","1","3","HOU"
"32862","0","3","HOU"
"32863","1","3","HOU"
"32864","2","3","HOU"
"32865","2","3","HOU"
"32866","1","3","HOU"
"32867","2","3","HOU"
"32868","0","3","HOU"
"32869","1","3","HOU"
"32870","2","3","HOU"
"32871","2","3","HOU"
"32872","3","1","OAK"
"32873","0","3","HOU"
"32874","3","1","OAK"
"32875","2","3","HOU"
"32876","1","3","HOU"
"32877","1","3","HOU"
"32878","3","2","OAK"
"32879","0","3","HOU"
"32880","0","3","HOU"
"32881","1","3","HOU"
"32882","3","1","OAK"
"32883","0","3","HOU"
"32884","1","3","HOU"
"32885","0","3","HOU"
"32886","0","3","HOU"
"32887","0","3","HOU"
"32888","1","3","HOU"
"32889","0","3","HOU"
"32890","1","3","HOU"
"32891","0","3","HOU"
"32892","2","3","HOU"
"32893","0","3","HOU"
"32894","2","3","HOU"
"32895","3","2","OAK"
"32896","1","3","HOU"
"32897","3","1","OAK"
"32898","2","3","HOU"
"32899","0","3","HOU"
"32900","3","2","OAK"
"32901","1","3","HOU"
"32902","2","3","HOU"
"32903","2","3","HOU"
"32904","1","3","HOU"
"32905","3","2","OAK"
"32906","3","0","OAK"
"32907","0","3","HOU"
"32908","1","3","HOU"
"32909","1","3","HOU"
"32910","1","3","HOU"
"32911","1","3","HOU"
"32912","1","3","HOU"
"32913","1","3","HOU"
"32914","0","3","HOU"
"32915","3","1","OAK"
"32916","1","3","HOU"
"32917","1","3","HOU"
"32918","1","3","HOU"
"32919","0","3","HOU"
"32920","1","3","HOU"
"32921","0","3","HOU"
"32922","2","3","HOU"
"32923","1","3","HOU"
"32924","2","3","HOU"
"32925","1","3","HOU"
"32926","1","3","HOU"
"32927","1","3","HOU"
"32928","1","3","HOU"
"32929","3","1","OAK"
"32930","0","3","HOU"
"32931","0","3","HOU"
"32932","1","3","HOU"
"32933","3","2","OAK"
"32934","1","3","HOU"
"32935","1","3","HOU"
"32936","0","3","HOU"
"32937","3","0","OAK"
"32938","2","3","HOU"
"32939","1","3","HOU"
"32940","0","3","HOU"
"32941","2","3","HOU"
"32942","0","3","HOU"
"32943","2","3","HOU"
"32944","3","1","OAK"
"32945","1","3","HOU"
"32946","2","3","HOU"
"32947","1","3","HOU"
"32948","1","3","HOU"
"32949","2","3","HOU"
"32950","0","3","HOU"
"32951","0","3","HOU"
"32952","3","1","OAK"
"32953","0","3","HOU"
"32954","3","2","OAK"
"32955","1","3","HOU"
"32956","2","3","HOU"
"32957","3","1","OAK"
"32958","1","3","HOU"
"32959","2","3","HOU"
"32960","0","3","HOU"
"32961","1","3","HOU"
"32962","2","3","HOU"
"32963","0","3","HOU"
"32964","1","3","HOU"
"32965","2","3","HOU"
"32966","0","3","HOU"
"32967","0","3","HOU"
"32968","3","2","OAK"
"32969","1","3","HOU"
"32970","0","3","HOU"
"32971","1","3","HOU"
"32972","2","3","HOU"
"32973","2","3","HOU"
"32974","0","3","HOU"
"32975","0","3","HOU"
"32976","2","3","HOU"
"32977","2","3","HOU"
"32978","2","3","HOU"
"32979","0","3","HOU"
"32980","0","3","HOU"
"32981","1","3","HOU"
"32982","3","1","OAK"
"32983","3","2","OAK"
"32984","1","3","HOU"
"32985","2","3","HOU"
"32986","0","3","HOU"
"32987","1","3","HOU"
"32988","1","3","HOU"
"32989","1","3","HOU"
"32990","3","2","OAK"
"32991","1","3","HOU"
"32992","1","3","HOU"
"32993","2","3","HOU"
"32994","1","3","HOU"
"32995","2","3","HOU"
"32996","2","3","HOU"
"32997","0","3","HOU"
"32998","2","3","HOU"
"32999","3","0","OAK"
"33000","1","3","HOU"
"33001","0","3","HOU"
"33002","0","3","HOU"
"33003","1","3","HOU"
"33004","0","3","HOU"
"33005","0","3","HOU"
"33006","0","3","HOU"
"33007","3","2","OAK"
"33008","3","0","OAK"
"33009","3","1","OAK"
"33010","1","3","HOU"
"33011","0","3","HOU"
"33012","2","3","HOU"
"33013","3","2","OAK"
"33014","1","3","HOU"
"33015","0","3","HOU"
"33016","3","1","OAK"
"33017","0","3","HOU"
"33018","0","3","HOU"
"33019","2","3","HOU"
"33020","0","3","HOU"
"33021","3","2","OAK"
"33022","0","3","HOU"
"33023","0","3","HOU"
"33024","0","3","HOU"
"33025","0","3","HOU"
"33026","3","1","OAK"
"33027","3","1","OAK"
"33028","1","3","HOU"
"33029","0","3","HOU"
"33030","3","2","OAK"
"33031","1","3","HOU"
"33032","1","3","HOU"
"33033","0","3","HOU"
"33034","3","2","OAK"
"33035","0","3","HOU"
"33036","2","3","HOU"
"33037","2","3","HOU"
"33038","1","3","HOU"
"33039","0","3","HOU"
"33040","0","3","HOU"
"33041","0","3","HOU"
"33042","2","3","HOU"
"33043","2","3","HOU"
"33044","2","3","HOU"
"33045","2","3","HOU"
"33046","2","3","HOU"
"33047","2","3","HOU"
"33048","2","3","HOU"
"33049","0","3","HOU"
"33050","0","3","HOU"
"33051","1","3","HOU"
"33052","1","3","HOU"
"33053","0","3","HOU"
"33054","2","3","HOU"
"33055","3","2","OAK"
"33056","0","3","HOU"
"33057","2","3","HOU"
"33058","3","2","OAK"
"33059","2","3","HOU"
"33060","1","3","HOU"
"33061","2","3","HOU"
"33062","2","3","HOU"
"33063","2","3","HOU"
"33064","0","3","HOU"
"33065","1","3","HOU"
"33066","2","3","HOU"
"33067","3","2","OAK"
"33068","3","2","OAK"
"33069","1","3","HOU"
"33070","2","3","HOU"
